Place_ID,Facility_Name,Facility_Group,Facility_Type,Address,Latitude,Longitude,Geometry
HLT001,Aperion Care Monroe,Healthcare,Nursing Home,"120 E Miller Drive, Bloomington, In 47401",39.146971,-86.526732,POINT (-86.52673161262301 39.14697075345173)
HLT002,IU Health Bloomington Hospital,Healthcare,Hospital,"2651 E Discovery Parkway, Bloomington, In 47408",39.177344,-86.503527,POINT (-86.50352701223837 39.17734385)
HLT003,Brickyard Healthcare - Bloomington Care Center,Healthcare,Nursing Home,"155 E Burks Drive, Bloomington, In 47401",39.126748,-86.529235,POINT (-86.5292347818554 39.1267477323763)
HLT004,Bloomington Regional Rehabilitation Hospital,Healthcare,Specialized Hospital,"3050 N Lintel Drive, Bloomington, In 47404",39.25007,-86.580849,POINT (-86.580849 39.25007)
HLT005,Majestic Care of Bloomington,Healthcare,Nursing Home,"1100 S Curry Pike, Bloomington, In 47403",39.149369,-86.582556,POINT (-86.58255630702538 39.149369323991316)
HLT006,Indiana University Student Health Center,Healthcare,Medical Center,"600 N Eagleson Avenue, Bloomington, In 47405",39.172119,-86.515183,POINT (-86.51518279610724 39.17211865)
HLT007,Bloomington Meadows Hospital,Healthcare,Mental Health Clinic,"3600 N Prow Road, Bloomington, In 47404",39.206053,-86.550987,POINT (-86.55098737289987 39.20605315)
HLT008,Stonecroft Health Campus,Healthcare,Assisted Living Facility,"363 S Fieldstone Boulevard, Bloomington, In 47403",39.16487,-86.605339,POINT (-86.605339 39.16487)
HLT009,HealthNet Bloomington Health Center,Healthcare,Medical Clinic,"811 W 2Nd Street, Bloomington, In 47403",39.161343,-86.542479,POINT (-86.54247940838711 39.16134305544695)
HLT011,Bell Trace Health & Living,Healthcare,Assisted Living Facility,"725 Bell Trace Circle, Bloomington, In 47408",39.168997,-86.488894,POINT (-86.4888937 39.1689974)
HLT012,IU Health Primary Care - Landmark,Healthcare,Medical Clinic,"550 S Landmark Avenue, Bloomington, In 47403",39.160693,-86.55504,POINT (-86.5550396 39.1606926)
HLT013,IU Health Urgent Care - Bloomington,Healthcare,Urgent Care Center,"326 S Woodscrest Drive, Bloomington, In 47401",39.163848,-86.502555,POINT (-86.50255477096619 39.16384763118611)
HLT014,IU Health Primary Care - Liberty,Healthcare,Medical Clinic,"1520 Liberty Drive, Bloomington, In 47403",39.147347,-86.577085,POINT (-86.577085 39.147347)
HLT015,Monroe Hospital,Healthcare,Hospital,"4011 S Monroe Medical Park Boulevard, Bloomington, In 47403",39.120358,-86.57181,POINT (-86.57181037497892 39.1203582)
HLT016,Activate by Everside Health,Healthcare,Medical Clinic,"119 W 7Th Street #264, Bloomington, In 47404",39.168632,-86.544156,POINT (-86.5441565 39.168632)
HLT018,The Cook Family Health Center,Healthcare,Medical Center,"402 N Rogers Street, Bloomington, In 47404",39.169831,-86.538311,POINT (-86.53831054245512 39.1698314)
HLT019,Bloomington Hospital Home Health,Healthcare,Home Health Care Service,"333 E Miller Drive, Bloomington, In 47401",39.14699,-86.529986,POINT (-86.52998628059434 39.146989899331416)
PRK001,Building Trades Park Playground,Parks,Playground,"619 W Howe Street, Bloomington, In",39.162207,-86.540408,POINT (-86.540414866514 39.162214528918)
PRK002,Upper Cascades Skate Park Trail Head N End,Parks,Trailhead,"N Of Upper Cascades Skate Park, Bloomington, In",39.194193,-86.535729,POINT (-86.535733706612 39.194200257505)
PRK003,Griffy Lake South Shore Trail North Trail End,Parks,Trailhead,"End Of South Shore Trail Near Shorelinein Griffy Woods Natur, Bloomington, In",39.198461,-86.516543,POINT (-86.516547725999 39.19846842229)
PRK004,John Waldron Arts Center,Parks,Arts Center/Gallery,"122 S Walnut Street, Bloomington, In",39.165732,-86.533868,POINT (-86.533873597119 39.165739367884)
PRK005,Griffy Lake South Shore Trail Sassafras CIR Trail,Parks,Trailhead,"E Sassafras Circle In Meadwood, Bloomington, In",39.192863,-86.519435,POINT (-86.51943999483 39.192870570358)
PRK006,Insomnia Cookies,Parks,Bakery,"430 E Kirkwood Avenue, Bloomington, In",39.166324,-86.528496,POINT (-86.528501014158 39.166331661954)
PRK007,Butler Park Ninth Street Loop Fairview Trail Head,Parks,Trailhead,"N Fairview Street North Of W 9Th Street And Park Parking Lot, Bloomington, In",39.171351,-86.541165,POINT (-86.541169923879 39.17135800188)
PRK008,Upper Cascades Skate Park Trail Head S End,Parks,Trailhead,"West Side Of Upper Cascades Skate Park, Bloomington, In",39.192131,-86.537473,POINT (-86.53747853473 39.192138304634)
PRK009,Lower Cascades Park Playground,Parks,Playground,"2851 N Old State Road 37, Bloomington, In",39.196251,-86.535839,POINT (-86.535844762592 39.19625719138)
